,date,signal,target,qrank,stat_type,value
242,20000105,signal_RR_1d,fret_RR_1d,qr_75,ppd,-0.003279048376992164
243,20000105,signal_RR_1d,fret_MR_1d,qr_75,ppd,-0.002171034204420258
244,20000105,signal_RR_1d,fret_RR_1d,qr_50,ppd,-0.004123291428252656
245,20000105,signal_RR_1d,fret_MR_1d,qr_50,ppd,-0.0028143120661513416
246,20000105,signal_RR_1d,fret_RR_1d,qr_25,ppd,-0.00509065112656148
247,20000105,signal_RR_1d,fret_MR_1d,qr_25,ppd,-0.003774081126561478
248,20000105,signal_MR_1d,fret_RR_1d,qr_100,ppd,-0.0033044531933790755
249,20000105,signal_MR_1d,fret_MR_1d,qr_100,ppd,-0.0022274600726786367
250,20000105,signal_MR_1d,fret_RR_1d,qr_75,ppd,-0.003674392366497894
251,20000105,signal_MR_1d,fret_MR_1d,qr_75,ppd,-0.002456110464913239
252,20000105,signal_MR_1d,fret_RR_1d,qr_50,ppd,-0.004445481127084612
253,20000105,signal_MR_1d,fret_MR_1d,qr_50,ppd,-0.003052361677428575
254,20000105,signal_MR_1d,fret_RR_1d,qr_25,ppd,-0.004976896799816022
255,20000105,signal_MR_1d,fret_MR_1d,qr_25,ppd,-0.003602666799816021
256,20000105,signal_RR_1d,fret_RR_1d,qr_100,sharpe,-1.134930486849622
257,20000105,signal_RR_1d,fret_MR_1d,qr_100,sharpe,-0.7341956924206487
258,20000105,signal_RR_1d,fret_RR_1d,qr_75,sharpe,-1.4144623897361441
259,20000105,signal_RR_1d,fret_MR_1d,qr_75,sharpe,-0.9387526920902342
260,20000105,signal_RR_1d,fret_RR_1d,qr_50,sharpe,-1.803335744752018
261,20000105,signal_RR_1d,fret_MR_1d,qr_50,sharpe,-1.2327211409560916
262,20000105,signal_RR_1d,fret_RR_1d,qr_25,sharpe,-2.078100724042647
263,20000105,signal_RR_1d,fret_MR_1d,qr_25,sharpe,-1.542847698159938
264,20000105,signal_MR_1d,fret_RR_1d,qr_100,sharpe,-1.4208377995076718
265,20000105,signal_MR_1d,fret_MR_1d,qr_100,sharpe,-0.9607735153200654
